SYMBOL,EX,TIME,MID,CNT,
JPM,T,3:00:00 PM,43.58,389,
JPM,T,3:01:00 PM,43.56,622,
JPM,T,3:02:00 PM,43.55,575,
JPM,T,3:03:00 PM,43.54,433,
JPM,T,3:04:00 PM,43.52,223,
JPM,T,3:05:00 PM,43.57,667,
JPM,T,3:06:00 PM,43.61,643,
JPM,T,3:07:00 PM,43.64,682,
JPM,T,3:08:00 PM,43.60,837,
JPM,T,3:09:00 PM,43.59,441,
JPM,T,3:10:00 PM,43.58,393,
JPM,T,3:11:00 PM,43.61,499,
JPM,T,3:12:00 PM,43.61,318,
JPM,T,3:13:00 PM,43.57,584,
JPM,T,3:14:00 PM,43.62,501,
JPM,T,3:15:00 PM,43.57,525,
JPM,T,3:16:00 PM,43.53,457,
JPM,T,3:17:00 PM,43.53,393,
JPM,T,3:18:00 PM,43.55,528,
JPM,T,3:19:00 PM,43.57,248,
JPM,T,3:20:00 PM,43.61,456,
JPM,T,3:21:00 PM,43.62,590,
JPM,T,3:22:00 PM,43.65,612,
JPM,T,3:23:00 PM,43.64,564,
JPM,T,3:24:00 PM,43.64,300,
JPM,T,3:25:00 PM,43.67,554,
JPM,T,3:26:00 PM,43.67,913,
JPM,T,3:27:00 PM,43.69,1597,
JPM,T,3:28:00 PM,43.67,522,
JPM,T,3:29:00 PM,43.68,430,
JPM,T,3:30:00 PM,43.67,938,
JPM,T,3:31:00 PM,43.70,573,
JPM,T,3:32:00 PM,43.72,605,
JPM,T,3:33:00 PM,43.75,892,
JPM,T,3:34:00 PM,43.75,656,
JPM,T,3:35:00 PM,43.79,905,
JPM,T,3:36:00 PM,43.80,660,
JPM,T,3:37:00 PM,43.76,839,
JPM,T,3:38:00 PM,43.80,778,
JPM,T,3:39:00 PM,43.80,489,
JPM,T,3:40:00 PM,43.80,410,
JPM,T,3:41:00 PM,43.81,1013,
JPM,T,3:42:00 PM,43.82,680,
JPM,T,3:43:00 PM,43.79,1162,
JPM,T,3:44:00 PM,43.74,1312,
JPM,T,3:45:00 PM,43.73,1239,
JPM,T,3:46:00 PM,43.76,1029,
JPM,T,3:47:00 PM,43.79,1232,
JPM,T,3:48:00 PM,43.81,1286,
JPM,T,3:49:00 PM,43.82,1507,
JPM,T,3:50:00 PM,43.80,2131,
JPM,T,3:51:00 PM,43.83,1741,
JPM,T,3:52:00 PM,43.84,1176,
JPM,T,3:53:00 PM,43.79,1569,
JPM,T,3:54:00 PM,43.75,1428,
JPM,T,3:55:00 PM,43.73,1220,
JPM,T,3:56:00 PM,43.72,1493,
JPM,T,3:57:00 PM,43.67,2459,
JPM,T,3:58:00 PM,43.70,1460,
JPM,T,3:59:00 PM,43.67,1208,
JPM,T,4:00:00 PM,43.70,1662,
